run_id	appid	slug	title	mode	status	device_ok	swapchain_ok	first_generated	sustained_progress	log_path
20260327-172244	1196590	resident-evil-village	Resident Evil Village	passthrough	sustained	1	1	0	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/passthrough/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	clear	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/clear/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	bfi	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/bfi/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	copy	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/copy/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	history-copy	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/history-copy/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/blend/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	adaptive-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/adaptive-blend/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	search-blend	sustained	1	1	1	1	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/search-blend/omfg.log
20260327-172244	1196590	resident-evil-village	Resident Evil Village	search-adaptive-blend	swapchain-ok	1	1	0	0	/Users/dhimebauch/Developer/personal/post-proc-fg-research/artifacts/steamdeck/rust/real-games/resident-evil-village/search-adaptive-blend/omfg.log
